Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,8795.5498046875,8821.400390625,8724.099609375,8778.400390625,187500,0.0,0.0
2017-02-09,8812.349609375,8822.099609375,8771.2001953125,8793.5498046875,225900,0.0,0.0
2017-02-13,8819.900390625,8820.4501953125,8772.5,8792.2998046875,188300,0.0,0.0
2017-02-14,8778.9501953125,8807.900390625,8712.849609375,8724.7001953125,216100,0.0,0.0
2017-02-15,8739.0,8783.9501953125,8719.599609375,8778.0,184600,0.0,0.0
2017-02-16,8883.7001953125,8896.4501953125,8804.25,8821.7001953125,298300,0.0,0.0
2017-02-21,8931.599609375,8960.75,8905.25,8926.900390625,247100,0.0,0.0
2017-02-22,8956.400390625,8982.150390625,8927.5498046875,8939.5,377200,0.0,0.0
2017-02-27,8898.9501953125,8914.75,8867.599609375,8879.599609375,293600,0.0,0.0
2017-02-28,8904.400390625,8960.7998046875,8898.599609375,8945.7998046875,205900,0.0,0.0
2017-03-01,8982.849609375,8992.5,8879.7998046875,8899.75,218800,0.0,0.0
2017-03-02,8883.5,8907.099609375,8860.099609375,8897.5498046875,202600,0.0,0.0
2017-03-06,8977.75,8977.849609375,8932.7998046875,8946.900390625,173400,0.0,0.0
2017-03-07,8950.7001953125,8957.0498046875,8891.9501953125,8924.2998046875,177800,0.0,0.0
2017-03-08,8914.5,8945.7998046875,8899.5,8927.0,171500,0.0,0.0
2017-03-09,8953.7001953125,8975.7001953125,8903.9501953125,8934.5498046875,152700,0.0,0.0
2017-03-13,9091.650390625,9122.75,9060.5,9087.0,270300,0.0,0.0
2017-03-14,9086.849609375,9106.5498046875,9075.5,9084.7998046875,240600,0.0,0.0
2017-03-15,9129.650390625,9158.4501953125,9128.5498046875,9153.7001953125,208600,0.0,0.0
2017-03-16,9207.7998046875,9218.400390625,9147.599609375,9160.0498046875,286700,0.0,0.0
2017-03-20,9133.9501953125,9147.75,9087.2001953125,9121.5,247700,0.0,0.0
2017-03-21,9047.2001953125,9072.900390625,9019.2998046875,9030.4501953125,232300,0.0,0.0
2017-03-22,9048.75,9099.0498046875,9048.599609375,9086.2998046875,191800,0.0,0.0
2017-03-23,9104.0,9133.5498046875,9089.400390625,9108.0,203700,0.0,0.0
2017-03-27,9081.5,9110.400390625,9079.7998046875,9100.7998046875,183300,0.0,0.0
2017-03-28,9128.7001953125,9153.150390625,9109.099609375,9143.7998046875,243400,0.0,0.0
2017-03-29,9142.599609375,9183.150390625,9136.349609375,9173.75,323400,0.0,0.0
2017-03-30,9158.900390625,9191.7001953125,9152.099609375,9173.75,190900,0.0,0.0
2017-04-04,9264.400390625,9273.900390625,9215.400390625,9265.150390625,184800,0.0,0.0
2017-04-05,9245.7998046875,9267.9501953125,9218.849609375,9261.9501953125,186100,0.0,0.0
2017-04-06,9223.7001953125,9250.5,9188.099609375,9198.2998046875,190000,0.0,0.0
2017-04-10,9184.5498046875,9242.7001953125,9172.849609375,9237.0,200100,0.0,0.0
2017-04-11,9242.5,9246.400390625,9161.7998046875,9203.4501953125,161800,0.0,0.0
2017-04-12,9202.5,9202.650390625,9144.9501953125,9150.7998046875,166500,0.0,0.0
2017-04-17,9163.0,9217.900390625,9095.4501953125,9105.150390625,174200,0.0,0.0
2017-04-18,9112.2001953125,9120.5,9075.150390625,9103.5,173700,0.0,0.0
2017-04-19,9108.099609375,9143.900390625,9102.650390625,9136.400390625,170300,0.0,0.0
